tradeDate,标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
2026-02-26,515800,800ETF,4615985,1376577,882211,0,0,0
2026-02-26,515880,通信ETF,369429380,73453976,46248628,8862800,210000,0
2026-02-26,515900,央创ETF,1118457,638915,326596,0,0,0
2026-02-26,515980,人工智能,332379173,20379692,39502225,676000,257400,169400
2026-02-26,516010,游戏ETF,50595841,12795965,11949124,1399500,0,0
2026-02-26,516020,化工ETF,106439570,17965062,23132810,0,0,0
2026-02-26,516080,创新医药,20137184,899292,1503889,0,0,0
2026-02-26,516090,新能源E,17587435,1196987,626743,0,0,0
2026-02-26,516100,科技金融,46468811,1503935,3950763,0,0,0
2026-02-26,516110,汽车ETF,4213436,1180134,501199,1175000,0,0
2026-02-26,516120,化工50,66495515,11764127,21933683,1680000,0,0
2026-02-26,516150,稀土基金,73420191,12869572,25992219,801600,6900,66500
2026-02-26,516160,新能源,64641397,5065417,6416376,239900,6000,83000
2026-02-26,516290,光伏基金,8113821,1174170,2944097,0,0,0
2026-02-26,516310,银行指基,25173039,2675983,1779080,0,0,0
2026-02-26,516350,芯片50,18217644,4174546,1535501,0,0,0
2026-02-26,516510,云计算,91048816,11415253,14243371,6382700,0,0
2026-02-26,516520,智能驾驶,50758987,3960888,2662525,0,0,0
2026-02-26,516640,芯片龙头,30508893,5308696,3107943,0,0,0
2026-02-26,516650,有色50,74846310,14015201,14034741,0,0,0
2026-02-26,516670,畜牧养殖,13647317,576770,2259594,0,0,0
2026-02-26,516780,稀土ETF,49869238,8358386,7446339,2180000,0,0
2026-02-26,516820,医疗创新,79108122,4281787,4128672,0,0,0
2026-02-26,516860,金融科技,84606692,2502093,3375328,0,0,0
2026-02-26,516880,光伏50,18279909,2666099,1977304,332600,0,43000
2026-02-26,516920,芯片基金,5617220,1871700,1542954,0,0,0
2026-02-26,516970,基建50,8955792,1801293,1820898,1160100,0,319800
2026-02-26,517300,AH300ETF,1301736,259285,33479,0,0,0
2026-02-26,517380,创新药AH,33208416,1859646,973613,0,0,0
2026-02-26,517520,黄金股,227220362,21325049,31530916,0,0,0
2026-02-26,517900,银行优选,38896414,962544,264802,0,0,0
2026-02-26,518600,上海金,37637411,24225901,24501191,0,0,0
2026-02-26,518660,工银黄金,73621132,9099893,9116926,0,0,0
2026-02-26,518680,金ETF,76204719,15828887,16559804,0,0,0
2026-02-26,518800,黄金基金,443237447,18395140,26868251,0,0,0
2026-02-26,518850,黄金9999,186838164,48471547,35243550,0,0,0
2026-02-26,518860,上海金E,4067970,1791263,1720488,0,0,0
2026-02-26,518880,黄金ETF,7252165940,297907944,484143945,107400,0,5800
2026-02-26,520500,恒生新药,134172728,20649159,17153655,0,0,0
2026-02-26,520550,红利恒生,24143612,5687491,2625728,0,0,0
2026-02-26,520560,香港30,2036308,682668,434108,0,0,0
2026-02-26,520570,科技恒指,9153726,1897196,585329,0,0,0
2026-02-26,520600,汽车港股,196734815,5751450,4271131,0,0,0
2026-02-26,520660,港红利CS,5291023,613510,749870,0,0,0
2026-02-26,520700,创新药WJ,22638592,2485062,6666641,0,0,0
2026-02-26,520830,沙特ETF,42443716,5630233,4542874,0,0,0
2026-02-26,520840,港科技,37230151,11134416,9959210,0,0,0
2026-02-26,520860,港股通科,439430,829943,811084,0,0,0
2026-02-26,520880,港创新药,67733560,17215455,18279025,0,0,0
2026-02-26,520900,红利香港,5883087,1764572,1632100,0,0,0
2026-02-26,520920,恒生科TH,37810444,9798067,4000674,0,0,0
2026-02-26,520950,港股50,484395,189500,8888,0,0,0
2026-02-26,520970,港股通药,4482577,1207419,2045684,0,0,0
2026-02-26,520980,港科技30,140996424,29852962,20323309,0,0,0
2026-02-26,520990,国新红利,51371809,13761675,15464863,0,0,0
2026-02-26,560010,1000基金,9274863,3201051,2452955,114196052,7225600,82000
2026-02-26,560050,MSCIA50,14385216,1238537,1280161,0,0,0
2026-02-26,560080,中药ETF,64110102,4312688,4672846,0,0,0
2026-02-26,560090,证券指数,123080011,9110991,5023445,0,0,0
2026-02-26,560170,央企科技,5392214,996416,1386381,0,0,0
2026-02-26,560260,医疗50,7748577,48079,78239,0,0,0
2026-02-26,560280,工程机械,19835113,4088101,5285476,0,0,0
2026-02-26,560350,A50指数,9166200,731753,760753,0,0,0
2026-02-26,560510,中证A500,7777160,178529,347356,0,0,0
2026-02-26,560530,A500ETF,5844570,262030,410243,0,0,0
2026-02-26,560610,A500指数,13481529,1627061,287583,0,0,0
2026-02-26,560770,机器人ZS,6275900,831690,1257348,0,0,0
2026-02-26,560780,半导设备,57222068,14122164,8005252,0,0,0
2026-02-26,560800,数字ETF,4936052,459303,1402055,0,0,0
2026-02-26,560860,工业有色,189580305,32575559,52599606,0,0,0
2026-02-26,561100,电子龙头,17580445,930040,2200795,0,0,0
2026-02-26,561160,锂电池,35298948,7741540,3815558,0,0,0
2026-02-26,561230,A50,1324238,649507,443807,0,0,0
2026-02-26,561300,300增ETF,2592392,497127,146109,0,0,0
2026-02-26,561330,矿业ETF,61211215,13539787,6692627,0,0,0
2026-02-26,561380,电网ETF,51321352,11114922,6994263,0,0,0
2026-02-26,561550,500指增,41502211,544601,3524226,0,0,0
2026-02-26,561560,电力ETF,21984814,2181269,3356320,0,0,0
2026-02-26,561580,XD央企红,7841012,1756426,3482320,0,0,0
2026-02-26,561910,电池ETF,81474013,12951829,8735134,0,0,0
