tradeDate,证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股/份),融券余量(股/份),融券余额(元),融资融券余额(元)
20260224,000661,长春高新,26035868,2006893315,700,30604,2706005,2009599320
20260224,000665,湖北广电,8773554,214950266,37800,314900,1731950,216682216
20260224,000672,上峰水泥,67211922,342882950,85100,163300,2495224,345378174
20260224,000676,智度股份,77260310,743231152,1100,32500,293150,743524302
20260224,000678,襄阳轴承,5151603,137892460,0,0,0,137892460
20260224,000680,山推股份,12583365,143524405,2200,34400,469216,143993621
20260224,000681,视觉中国,322945094,1189087305,140600,271700,7224503,1196311808
20260224,000682,东方电子,53012886,627954034,10100,144600,2030184,629984218
20260224,000683,博源化工,23781916,634562954,5100,203400,1759410,636322364
20260224,000685,中山公用,18604368,599542090,5500,63200,748920,600291010
20260224,000686,东北证券,21617966,1426356491,49400,318300,2845602,1429202093
20260224,000688,国城矿业,86998935,401528009,26100,102100,3435665,404963674
20260224,000690,宝新能源,19547890,711288690,4300,99700,444662,711733352
20260224,000700,模塑科技,121529794,785956796,5800,24400,357460,786314256
20260224,000703,恒逸石化,24887983,634122366,11800,1490300,18956616,653078982
20260224,000707,双环科技,12269689,116921741,0,7800,52416,116974157
20260224,000708,中信特钢,8204619,153392656,12400,133000,2116030,155508686
20260224,000709,河钢股份,25397418,772173633,85300,711800,1765264,773938897
20260224,000712,锦龙股份,29364551,536988533,1300,75900,976074,537964607
20260224,000713,国投丰乐,5957839,188369680,2500,42600,291810,188661490
20260224,000716,黑芝麻,4500048,114844052,100,49400,300352,115144404
20260224,000717,中南股份,5433305,141593458,74100,221900,581378,142174836
20260224,000718,苏宁环球,9291290,289589699,5200,26600,62510,289652209
20260224,000719,中原传媒,11650413,128350174,2000,13100,173313,128523487
20260224,000722,湖南发展,16008790,171968998,0,0,0,171968998
20260224,000723,美锦能源,42900802,958625751,110300,922100,4601279,963227030
20260224,000725,京东方Ａ,338689745,8157962551,334700,3567800,15270184,8173232735
20260224,000726,鲁  泰Ａ,8537866,232626977,0,10500,79800,232706777
20260224,000728,国元证券,26553962,2024077757,1800,476520,3955116,2028032873
20260224,000729,燕京啤酒,17520270,268319310,16800,542000,6715380,275034690
20260224,000731,四川美丰,12732255,327821649,0,9800,69286,327890935
20260224,000733,振华科技,100826060,1397333891,3000,48700,2647819,1399981710
20260224,000735,罗 牛 山,16679252,764617170,8400,162900,1252701,765869871
20260224,000737,北方铜业,131080216,871801478,9400,78100,1320671,873122149
20260224,000738,航发控制,295095277,1109281703,35100,700803,20063989,1129345692
20260224,000739,普洛药业,10160222,196050611,500,130300,2354521,198405132
20260224,000750,国海证券,20338684,1747978266,196900,1520200,6324032,1754302298
20260224,000755,山西高速,4419221,88377554,0,10400,55224,88432778
20260224,000756,新华制药,7561534,233208814,16700,96200,1513226,234722040
20260224,000758,中色股份,78220228,707967801,3000,22600,174472,708142273
20260224,000761,本钢板材,5468753,159108887,53000,71500,264550,159373437
20260224,000762,西藏矿业,69544789,858996635,3800,24700,687401,859684036
20260224,000766,通化金马,15242720,1889528857,10900,231700,5449584,1894978441
20260224,000767,晋控电力,126049752,266652794,134000,769300,2769480,269422274
20260224,000768,中航西飞,260809720,2247330814,13900,85400,2602992,2249933806
20260224,000776,广发证券,141110916,3821112707,0,144100,3024659,3824137366
20260224,000777,中核科技,21015949,903618698,0,66500,1679790,905298488
20260224,000778,新兴铸管,56868836,796368518,31100,119300,604851,796973369
20260224,000783,长江证券,46138411,1805917247,17800,405700,3176631,1809093878
20260224,000785,居然智家,9740920,335163086,44000,1714300,5022899,340185985
20260224,000786,北新建材,39584707,590373244,3600,48600,1339416,591712660
20260224,000789,万年青,4258801,128109856,0,25100,141062,128250918
20260224,000790,华神科技,7063266,189069576,0,0,0,189069576
20260224,000791,甘肃能源,31428135,282857138,0,5300,36040,282893178
20260224,000792,盐湖股份,481657097,5078364645,31300,416800,14863088,5093227733
20260224,000795,英洛华,15233452,273783255,0,5000,51750,273835005
20260224,000799,酒鬼酒,31914882,570490086,200,5800,299802,570789888
20260224,000800,一汽解放,11775820,721011284,0,71600,501916,721513200
